decade,decade_label,feature,variance,std,iqr,cv,mean,track_count
1980,1980s,acousticness,0.10183801392793358,0.31912068865545773,0.603,0.7401638636662966,0.431148701416925,26127
1980,1980s,danceability,0.02629189416351696,0.16214775411184998,0.22800000000000004,0.2883577000791898,0.5623146323726413,26127
1980,1980s,energy,0.053126493108739264,0.23049185041718778,0.34099999999999997,0.42784624269580857,0.538725895931412,26127
1980,1980s,instrumentalness,0.050979671416505605,0.22578678308640124,0.00656,2.6764957253267094,0.08435910468672253,26127
1980,1980s,liveness,0.040728435799907044,0.20181287322642985,0.21710000000000002,0.8639623704571228,0.23358988785547521,26127
1980,1980s,loudness,22.27468008999326,4.719605925285846,5.669,-0.4183448904270361,-11.28161484288284,26127
1980,1980s,speechiness,0.07297907463033922,0.2701463948127741,0.051899999999999995,1.7173161722451649,0.15730731427259154,26127
1980,1980s,tempo,875.7866920212211,29.593693450146116,40.178,0.24977138816771147,118.48312037355991,26127
1980,1980s,valence,0.06497750323876775,0.25490685208281033,0.41450000000000004,0.4386935746326431,0.5810590052436176,26127
1985,1985s,acousticness,0.09822789425285602,0.31341329622856784,0.587125,0.7826093084272621,0.4004722316150388,32476
1985,1985s,danceability,0.025484940814047577,0.1596400351229214,0.22100000000000003,0.28516311040803877,0.5598200794432812,32476
1985,1985s,energy,0.05735665742692477,0.2394924997300015,0.37,0.43244988383666305,0.5538040561029683,32476
1985,1985s,instrumentalness,0.04547471861895923,0.21324802137173332,0.00434,2.8290693957634723,0.07537744450209385,32476
1985,1985s,liveness,0.037506222323295514,0.19366523261364058,0.20439999999999997,0.8659796098520863,0.2236371739130435,32476
1985,1985s,loudness,21.35495631942225,4.621142317590127,5.668999999999999,-0.4074921046647392,-11.340446268013302,32476
1985,1985s,speechiness,0.0518141108679994,0.22762713122121317,0.030600000000000002,1.9214143203642056,0.11846853060721764,32476
1985,1985s,tempo,841.4832675310272,29.00833100216259,38.71124999999999,0.24469107604644433,118.55083344623722,32476
1985,1985s,valence,0.06579135338440623,0.25649825220536343,0.42400000000000004,0.4489435923821037,0.571337371905407,32476
1990,1990s,acousticness,0.0991050064062325,0.3148094763602781,0.5887,0.8122640114661254,0.38757038587989556,36385
1990,1990s,danceability,0.02556938199315069,0.15990429010239435,0.21800000000000003,0.28291085301196506,0.5652108726123404,36385
1990,1990s,energy,0.056294857486572134,0.2372653735515828,0.362,0.4338937025131781,0.5468283410828638,36385
1990,1990s,instrumentalness,0.044190211593037085,0.21021467977531227,0.00277,2.903826660693359,0.07239229621409923,36385
1990,1990s,liveness,0.035817423156236976,0.1892549158046812,0.19049999999999997,0.8816854111479187,0.21465129558884158,36385
1990,1990s,loudness,19.575291885167527,4.424397347116049,5.385999999999999,-0.3938583646351992,-11.233473107049608,36385
1990,1990s,speechiness,0.03053575511590037,0.1747448285812784,0.030199999999999998,1.8580069777804509,0.0940496083550914,36385
1990,1990s,tempo,885.8919597910514,29.763937236042064,40.24299999999998,0.24901791168776966,119.52528649168613,36385
1990,1990s,valence,0.06771827502821318,0.2602273525750381,0.43600000000000005,0.4582679669773992,0.5678497545691906,36385
1995,1995s,acousticness,0.09477493662151656,0.30785538264177964,0.5545,0.876021671510007,0.35142439126092206,47267
1995,1995s,danceability,0.0258417066665484,0.16075355879901507,0.21899999999999997,0.2783568711019152,0.5775088581885882,47267
1995,1995s,energy,0.054193373521099056,0.2327947025194067,0.36150000000000004,0.39380585920359557,0.5911407793428819,47267
1995,1995s,instrumentalness,0.04353095970785546,0.2086407431635908,0.00166,3.0260675131143904,0.06894781503035945,47267
1995,1995s,liveness,0.03722889906149752,0.19294791800249497,0.18904999999999997,0.8894783324502755,0.21692256119491402,47267
